OuterProduct, 64,64,ip,2,op,2,ts2,64,ts1,64, 50000001, 0
OuterProduct, 192,192,ip,1,op,1,ts2,64,ts1,64, 18900, 1
OuterProduct, 192,192,ip,2,op,2,ts2,48,ts1,48, 5439, 1
OuterProduct, 3840,3840,ip,16,op,10,ts2,96,ts1,96, 1277427, 1
OuterProduct, 3840,3840,ip,16,op,10,ts2,96,ts1,192, 1253825, 1
OuterProduct, 3840,3840,ip,16,op,10,ts2,96,ts1,384, 1220410, 1
OuterProduct, 192,192,ip,16,op,10,ts2,48,ts1,48, 50000001, 0
OuterProduct, 3840,3840,ip,16,op,10,ts2,384,ts1,192, 50000001, 0
OuterProduct, 3840,3840,ip,16,op,10,ts2,192,ts1,96, 1248219, 1
OuterProduct, 3840,3840,ip,16,op,10,ts2,96,ts1,192, 1253307, 1
OuterProduct, 38400,38400,ip,16,op,10,ts2,384,ts1,192, 50000001, 0
OuterProduct, 38400,38400,ip,16,op,10,ts2,384,ts1,384, 50000001, 0
OuterProduct, 38400,38400,ip,16,op,10,ts2,384,ts1,768, 50000001, 0
